,ID,性別,年齢区分,婚姻有無,扶養家族,利用月数,電話ｻｰﾋﾞｽ,電話回線数,ｲﾝﾀｰﾈｯﾄｻｰﾋﾞｽ,ｾｷｭﾘﾃｨｻｰﾋﾞｽ,ﾊﾞｯｸｱｯﾌﾟｻｰﾋﾞｽ,機器予防ｻｰﾋﾞｽ,ﾃｸﾆｶﾙｻﾎﾟｰﾄ,ｽﾄﾘｰﾐﾝｸﾞｻｰﾋﾞｽ(TV),ｽﾄﾘｰﾐﾝｸﾞｻｰﾋﾞｽ(映画),契約形態,請求書,支払方法,月額支払額,通算支払額,解約
53,3196-NVXLZ,2,0,0,0,25,1,2,2,0,0,0,0,1,0,0,1,1,84.6,2088.05,0
54,0409-WTMPL,2,0,1,0,58,1,2,2,1,1,1,0,1,1,1,1,3,110.65,6526.65,0
55,8263-OKETD,2,0,0,0,20,1,2,1,0,1,0,1,0,1,0,1,3,68.9,1370.35,0
56,0730-BGQGF,1,0,1,1,71,1,2,1,1,1,1,1,1,1,2,0,3,90.3,6287.3,0
57,4353-HYOJD,2,0,1,1,27,1,1,1,0,1,0,0,0,0,0,0,1,49.85,1336.15,0
58,4256-ZWTZI,2,0,0,1,5,1,1,1,0,0,0,1,0,0,0,1,1,51.0,286.8,0
59,1550-EENBN,2,0,0,0,31,1,2,2,1,1,0,0,1,1,0,0,0,104.35,3205.6,0
60,0757-WCUUZ,1,0,1,1,54,1,2,1,0,0,1,0,0,1,2,0,3,63.35,3409.1,0
61,1089-HDMKP,1,1,0,1,11,1,1,1,0,1,0,1,0,0,0,1,0,54.55,601.25,0
62,4060-LDNLU,1,0,0,0,7,1,2,2,0,0,0,0,1,1,0,0,0,96.2,639.7,0
63,7581-EBBOU,2,0,0,0,60,1,1,1,0,1,1,1,1,0,1,1,3,70.15,4224.7,0
64,3143-JQEGI,2,0,1,1,13,1,1,2,0,0,0,0,1,1,0,0,0,88.35,1222.8,1
65,1439-LCGVL,2,0,1,0,26,1,1,0,2,2,2,2,2,2,1,0,1,19.2,459.6,0
66,4083-BFNYK,2,1,1,0,38,1,2,2,1,1,0,0,0,1,1,0,3,95.0,3591.25,0
67,0872-NXJYS,2,0,0,0,9,1,1,2,0,0,0,0,0,1,0,1,0,79.55,723.4,1
68,9408-SSNVZ,2,0,0,0,4,1,1,2,0,0,0,0,0,0,0,1,0,70.15,268.35,1
69,7851-FLGGQ,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,44.65,44.65,1
70,2988-QRAJY,1,0,0,0,69,1,2,2,1,1,1,0,1,1,2,1,3,110.05,7430.75,0
71,6000-UKLWI,1,0,0,0,41,1,1,0,2,2,2,2,2,2,2,0,1,20.15,802.35,0
72,9405-GPBBG,2,0,0,0,64,1,2,2,0,1,1,1,1,1,2,1,3,110.5,7069.25,0
73,0993-OSGPT,2,1,1,0,68,1,1,1,0,1,1,1,0,0,1,1,2,60.65,3975.9,0
74,2465-BLLEU,1,0,0,0,1,1,1,0,2,2,2,2,2,2,0,1,1,19.75,19.75,0
75,2466-NEJOJ,1,0,1,1,8,1,1,0,2,2,2,2,2,2,0,0,3,19.65,169.75,0
76,4837-QUSFT,2,0,1,0,65,1,2,2,1,1,0,1,1,0,1,1,2,100.15,6643.5,0
77,9753-OYLBX,2,0,0,0,1,1,1,0,2,2,2,2,2,2,0,0,1,20.5,20.5,0
78,5792-JALQC,2,1,0,0,52,1,2,1,1,0,1,0,0,0,2,0,2,59.85,3103.25,0
79,6900-PXRMS,1,1,1,1,26,1,2,2,0,1,1,0,1,1,0,0,0,105.75,2710.25,1
80,4983-CLMLV,2,0,1,0,52,1,2,2,0,1,0,1,1,1,0,1,3,102.7,5138.1,0
81,5406-KGRMX,2,0,0,0,71,1,2,0,2,2,2,2,2,2,2,0,0,24.55,1719.15,0
82,5982-PSMKW,2,0,1,1,23,1,2,1,1,1,1,1,1,1,2,1,3,91.1,2198.3,0
83,6230-BSUXY,2,1,0,0,1,1,1,2,0,0,1,0,0,1,0,1,0,85.0,85.0,1
84,4385-ZKVNW,1,0,1,1,44,1,1,1,0,1,0,1,0,0,0,1,2,54.9,2549.1,0
85,0310-MVLET,2,0,1,1,61,1,2,2,0,1,0,0,1,1,0,1,0,99.15,6010.05,1
86,5778-BVOFB,2,0,0,0,9,1,1,1,0,0,0,1,1,0,0,1,2,59.5,530.05,0
87,0379-DJQHR,1,0,1,1,67,1,1,1,1,1,1,0,1,1,2,0,3,81.35,5398.6,0
88,2236-HILPA,1,0,1,1,62,1,1,0,2,2,2,2,2,2,2,0,3,20.65,1218.45,0
89,8332-OSJDW,1,0,1,1,12,1,2,0,2,2,2,2,2,2,1,0,1,26.4,314.95,0
90,2873-ZLIWT,2,0,1,1,40,1,2,2,0,0,1,1,0,0,0,1,0,84.85,3303.05,1
91,2805-EDJPQ,2,0,1,1,56,1,2,2,0,1,1,1,0,1,1,1,3,99.75,5608.4,0
92,5047-LHVLY,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,50.15,50.15,1
93,9764-REAFF,2,0,1,0,59,1,1,0,2,2,2,2,2,2,2,0,2,18.4,1057.85,0
94,1092-WPIVQ,2,0,1,1,18,1,2,0,2,2,2,2,2,2,2,0,1,25.1,428.45,0
95,6837-HAEVO,1,0,1,1,69,1,2,2,0,1,1,0,1,1,2,1,0,105.0,7297.75,0
96,1485-YDHMM,1,0,1,1,52,1,2,2,0,1,0,1,0,1,0,1,2,93.25,4631.7,0
97,9026-RNUJS,1,1,0,0,5,1,1,1,0,0,1,0,0,0,0,0,0,50.35,237.25,1
98,1391-UBDAR,1,0,0,0,11,1,1,2,0,0,1,0,0,0,0,0,0,72.9,818.45,0
99,1010-DIAUQ,1,0,0,0,5,1,1,2,0,0,1,0,1,1,0,0,2,96.5,492.55,1
100,6993-OHLXR,2,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,68.95,119.75,1
101,8231-BSWXX,1,0,0,0,71,1,2,2,0,1,0,0,0,0,1,1,3,79.05,5552.5,0
102,6813-GZQCG,2,0,1,1,45,1,2,0,2,2,2,2,2,2,2,1,3,24.65,1171.3,0
103,2782-LFZVW,2,0,0,0,11,1,2,1,0,0,0,0,0,1,0,1,1,58.95,601.6,0
104,6733-LRIZX,1,0,0,0,35,1,2,2,1,0,1,1,1,1,2,1,0,108.95,4025.5,0
105,9227-LUNBG,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,24.6,24.6,1
106,7075-BNDVQ,2,0,0,0,4,0,0,1,1,0,1,0,0,0,0,0,1,35.0,135.75,0
107,5196-WPYOW,1,0,1,1,67,1,1,1,1,1,0,1,0,0,1,0,1,60.05,3994.05,0
108,3675-YDUPJ,1,0,0,0,10,1,1,0,2,2,2,2,2,2,0,1,1,19.85,193.05,0
109,3737-XBQDD,1,0,0,0,24,1,2,2,0,1,1,0,0,0,0,1,2,84.85,2048.8,0
110,1866-DIOQZ,2,0,1,0,71,0,0,1,1,1,1,1,1,1,1,0,2,66.8,4689.15,0
111,5980-NOPLP,2,0,1,0,44,1,2,2,0,0,0,0,1,1,0,1,0,96.1,4364.1,1
112,1699-HPSBG,1,0,0,0,12,1,1,1,0,0,0,1,1,0,1,1,0,59.8,727.8,1
113,0835-DUUIQ,2,0,0,1,24,1,1,0,2,2,2,2,2,2,1,0,2,21.05,531.55,0
114,0750-EBAIU,1,0,0,0,52,1,1,2,1,0,1,0,1,0,1,0,0,91.25,4738.3,0
115,3486-NPGST,2,0,0,0,36,1,1,0,2,2,2,2,2,2,1,0,1,19.55,620.75,0
116,8016-ZMGMO,2,1,1,0,66,1,2,1,0,1,1,0,1,0,1,1,2,70.85,4738.85,0
117,1618-CFHME,2,0,0,0,2,1,2,2,0,0,0,0,0,0,0,1,0,75.9,143.35,1
118,6295-OSINB,1,0,1,0,72,1,2,2,1,1,1,0,1,1,2,1,0,109.65,7880.25,0
119,4324-BZCKL,2,0,1,1,10,1,1,1,0,1,1,0,0,0,0,1,1,55.55,551.3,0
120,3750-CKVKH,1,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,67.75,116.65,1
121,1432-FPAXX,2,0,0,0,29,0,0,1,0,1,0,0,0,0,0,1,0,30.6,856.35,1
122,3068-OMWZA,1,1,0,0,1,1,2,2,0,0,1,0,1,0,0,1,0,88.8,88.8,1
123,2495-KZNFB,2,0,0,0,33,1,2,2,1,0,0,0,0,1,0,1,0,90.65,2989.6,0
124,1941-HOSAM,1,0,1,1,1,1,1,2,0,0,0,0,1,1,0,1,0,90.1,90.1,0
125,4366-CTOUZ,2,0,0,0,50,1,1,2,0,1,0,1,1,1,2,1,1,100.2,5038.45,0
126,0835-JKADZ,2,0,0,0,71,1,2,2,0,1,1,1,1,1,2,1,0,111.25,7984.15,0
127,8008-ESFLK,2,0,1,0,53,1,1,2,1,1,1,1,1,1,1,0,0,110.5,5835.5,0
128,9453-PATOS,2,0,1,0,72,1,1,1,1,1,1,1,1,1,2,0,1,85.1,6155.4,0
129,1480-IVEVR,1,1,1,0,35,1,2,2,0,0,1,0,0,0,1,1,2,81.6,2815.25,0
130,5651-WYIPH,2,1,0,0,18,1,1,1,0,1,0,0,0,0,0,1,3,49.85,865.75,0
131,6651-RLGGM,1,0,1,1,67,1,2,0,2,2,2,2,2,2,2,0,1,26.3,1688.9,0
132,5285-MVEHD,2,0,1,0,56,1,1,2,1,1,1,0,1,1,1,1,3,105.6,6068.65,0
133,6244-BESBM,1,0,1,1,69,1,1,2,0,0,0,1,1,1,2,1,3,95.2,6671.7,0
134,9692-TUSXH,2,0,0,0,18,1,1,2,1,0,0,0,1,1,0,1,0,96.05,1740.7,1
135,5537-UXXVS,2,0,1,0,20,1,1,0,2,2,2,2,2,2,0,0,2,19.25,375.25,0
136,5159-YFPKQ,2,0,0,0,2,1,1,2,0,0,1,0,0,0,0,1,0,75.8,160.75,1
137,0508-SQWPL,2,0,1,1,57,1,1,0,2,2,2,2,2,2,2,1,2,20.1,1087.7,0
138,9680-NIAUV,2,0,1,1,72,1,2,2,1,1,1,0,1,1,2,0,3,109.7,8129.3,0
139,2259-OUUSZ,1,0,0,0,7,0,0,1,0,0,1,1,0,0,1,1,3,35.5,249.55,0
140,5701-ZIKJE,1,0,0,0,13,1,1,1,0,0,0,1,0,0,0,1,1,50.55,610.75,0
141,7398-HPYZQ,1,0,1,0,71,1,2,1,1,1,1,1,1,1,2,0,2,90.55,6404.0,0
142,7472-EQOAV,1,1,1,1,71,1,1,2,1,1,1,0,0,0,1,1,2,86.7,6179.35,0
143,4177-JPDFU,1,0,0,0,12,0,0,1,0,1,0,1,0,0,0,0,1,34.0,442.45,0
144,7925-PNRGI,2,0,1,1,45,1,2,1,1,1,1,1,1,0,0,0,1,81.3,3541.1,0
145,0396-UKGAI,1,0,0,1,23,1,1,1,0,1,0,1,0,0,0,1,2,55.3,1284.2,0
146,7677-SJJJK,1,0,1,1,8,1,1,0,2,2,2,2,2,2,1,0,3,19.9,153.95,0
147,9574-RKJIF,1,0,1,1,30,1,2,2,1,1,0,0,1,0,0,1,0,94.4,2838.7,1
148,8461-EFQYM,2,0,0,0,38,1,2,0,2,2,2,2,2,2,1,1,0,24.25,914.4,0
149,2018-PZKMU,1,0,1,1,9,1,1,2,0,0,1,1,1,1,0,0,0,103.1,970.45,0
150,5442-XSDCW,1,0,1,1,11,1,1,2,0,0,0,0,1,0,0,1,2,79.5,868.5,1
151,3190-ITQXP,2,0,1,1,46,1,1,0,2,2,2,2,2,2,2,0,2,20.25,890.35,0
152,7279-NMVJC,2,0,0,0,17,1,1,0,2,2,2,2,2,2,1,0,2,19.9,323.15,0
153,4086-WITJG,1,0,1,1,71,1,1,0,2,2,2,2,2,2,2,0,3,19.7,1301.1,0
154,2826-DXLQO,1,1,1,0,7,0,0,1,1,0,0,0,0,0,0,0,2,29.8,220.45,0
155,1215-EXRMO,1,0,1,0,50,1,1,0,2,2,2,2,2,2,2,0,1,20.55,1067.65,0
156,3466-RITXD,1,0,0,0,26,1,2,2,1,1,0,0,1,0,0,1,3,92.4,2349.8,0
157,6077-BDPXA,2,0,0,0,3,1,1,2,0,0,0,0,0,0,0,1,0,70.15,194.2,0
158,4282-ACRXS,1,1,1,0,38,0,0,1,0,0,0,0,0,0,0,1,0,24.85,955.75,0
159,2219-MVUSO,1,0,0,0,8,1,1,1,0,0,0,0,0,0,0,1,1,45.15,438.4,1
160,3347-YJZZE,1,0,1,1,29,1,2,1,0,1,1,0,1,1,0,0,3,80.1,2211.8,0
161,2024-BASKD,2,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,1,74.6,74.6,1
162,6656-GULJQ,1,0,1,1,72,1,2,1,1,0,1,1,1,1,2,1,3,83.55,6093.3,0
163,8642-GVWRF,2,0,1,0,2,1,1,2,0,1,1,0,0,0,0,0,2,79.7,165.0,1
164,7803-XOCCZ,2,0,1,1,52,1,1,2,1,0,1,1,0,0,0,1,2,84.05,4326.8,0
165,1335-HQMKX,2,0,1,0,72,1,2,2,0,1,1,0,1,1,1,1,0,101.35,7323.15,0
166,8942-DBMHZ,1,0,0,0,12,1,1,0,2,2,2,2,2,2,0,0,1,20.45,255.35,0
167,2223-KAGMX,2,0,0,0,15,1,1,0,2,2,2,2,2,2,0,0,2,19.4,289.3,1
168,2077-DDHJK,2,0,1,0,68,1,2,1,1,1,1,1,0,0,2,0,3,70.9,4911.35,0
169,4826-TZEVA,2,0,0,0,40,1,1,2,0,1,0,0,0,0,0,0,3,74.8,2971.7,0
170,9940-RHLFB,2,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,75.3,75.3,1
171,8474-UMLNT,2,0,0,0,13,1,1,1,1,1,0,1,0,1,0,0,2,67.8,842.25,0
172,4817-QRJSX,2,0,0,0,10,1,2,2,0,1,0,0,0,0,0,1,3,81.0,818.05,1
173,7570-WELNY,2,0,1,0,68,1,2,2,1,1,0,0,0,0,2,1,2,84.7,5711.05,0
174,2703-AMTUL,1,0,1,1,36,1,1,1,1,1,0,0,0,0,1,0,1,53.65,1939.35,0
175,8999-YPYBV,1,0,1,1,45,1,1,1,1,1,1,1,1,1,2,1,1,84.35,3858.05,0
176,2731-GJRDG,2,0,0,0,32,1,2,2,1,0,1,1,1,1,1,1,2,109.55,3608.0,0
177,3170-NMYVV,2,0,1,1,50,1,1,0,2,2,2,2,2,2,2,0,2,20.15,930.9,0
178,5442-PPTJY,1,0,1,1,12,1,1,0,2,2,2,2,2,2,2,0,1,19.7,258.35,0
179,5298-GSTLM,2,1,0,0,60,1,2,2,1,0,0,0,1,1,1,1,2,101.4,6176.6,0
180,3858-VOBET,1,0,0,0,23,1,2,2,0,0,0,0,0,0,0,1,0,74.95,1710.45,1
181,1925-GMVBW,2,0,0,0,5,1,1,0,2,2,2,2,2,2,0,0,3,20.55,96.1,0
182,8165-ZJRNM,2,0,1,1,72,1,2,0,2,2,2,2,2,2,2,0,2,23.75,1679.25,0
183,6204-IEUXJ,2,0,0,0,3,1,1,2,0,0,1,1,0,0,0,0,3,80.1,217.55,1
184,3754-DXMRT,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,44.15,92.65,1
185,7123-WQUHX,1,0,0,0,38,1,2,2,0,0,1,1,1,0,1,0,2,95.0,3605.6,0
186,8974-OVACP,2,0,0,0,1,1,1,0,2,2,2,2,2,2,0,0,1,20.15,20.15,0
187,4378-BZYFP,1,0,0,0,17,1,1,0,2,2,2,2,2,2,1,1,1,20.5,365.8,0
188,5057-LCOUI,2,0,0,0,39,0,0,1,0,0,1,0,1,1,0,1,0,50.75,2011.4,1
189,4942-VZZOM,1,0,1,0,64,1,2,1,1,0,0,0,1,0,1,1,3,66.15,4392.5,0
190,8111-BKVDS,2,0,0,0,10,0,0,1,1,1,1,0,0,0,0,0,2,40.7,449.3,0
191,8676-TRMJS,1,0,0,0,3,1,2,2,0,0,0,0,0,0,0,0,1,75.0,209.1,1
192,3763-GCZHZ,1,0,1,0,66,1,2,2,0,1,0,1,1,1,1,1,0,104.05,6890.0,1
193,0181-RITDD,1,0,1,1,62,1,1,2,1,1,1,1,1,1,2,0,1,108.15,6825.65,0
194,8194-PEEBY,2,0,1,1,24,1,1,0,2,2,2,2,2,2,1,0,1,19.9,533.5,0
195,5108-ADXWO,1,0,0,0,11,1,1,2,1,0,0,0,0,0,0,1,0,73.5,791.75,1
196,8780-RSYYU,2,0,0,0,25,1,1,0,2,2,2,2,2,2,0,1,3,19.2,532.1,0
197,8049-WJCLQ,1,0,1,1,10,1,1,1,0,0,1,0,1,0,0,0,1,60.2,563.5,0
198,1251-KRREG,1,0,0,0,2,1,2,1,0,1,0,0,0,0,0,1,1,54.4,114.1,1
199,8624-GIOUT,2,0,0,0,49,1,2,1,1,1,0,0,0,0,0,1,3,59.75,2934.3,1
200,3261-CQXOL,2,0,1,1,71,1,2,0,2,2,2,2,2,2,2,0,2,25.45,1813.35,0
201,8220-OCUFY,2,0,0,0,21,1,1,1,1,0,1,1,0,0,1,1,0,60.25,1258.35,0
202,6040-CGACY,2,0,0,0,15,1,1,0,2,2,2,2,2,2,0,0,1,19.6,299.4,0
203,2277-AXSDC,2,0,0,0,32,1,1,0,2,2,2,2,2,2,1,0,2,19.75,624.15,0
204,5686-CMAWK,1,0,0,0,17,1,2,2,0,0,1,1,0,0,1,0,0,86.75,1410.25,0
205,6242-MBHPK,2,1,1,0,23,1,1,2,1,0,0,0,1,1,0,1,0,95.1,2326.05,0
206,1951-IEYXM,1,0,1,1,72,1,2,1,1,1,1,1,1,1,2,1,3,90.6,6441.85,0
207,2320-JRSDE,2,0,1,1,1,1,1,0,2,2,2,2,2,2,0,1,0,19.9,19.9,1
208,4419-UJMUS,1,0,1,1,69,1,2,2,0,0,0,1,1,1,2,1,0,99.35,6856.45,0
209,2664-XJZNO,1,0,1,1,72,1,1,2,1,0,1,1,1,1,2,1,3,104.9,7559.55,0
210,6112-KTHFQ,2,0,0,0,13,1,1,0,2,2,2,2,2,2,0,1,1,19.3,279.3,0
211,6692-UDPJC,2,0,1,1,14,1,2,2,0,0,0,1,1,0,0,1,0,91.65,1301.0,1
212,2146-EGVDT,1,0,1,1,59,1,1,0,2,2,2,2,2,2,2,0,3,19.3,1192.7,0
213,7968-QUXNS,1,0,0,0,6,1,1,0,2,2,2,2,2,2,0,0,1,18.95,110.15,0
214,9373-WSLOY,1,1,1,0,33,0,0,1,0,1,1,1,1,0,0,1,0,50.0,1750.85,0
215,3339-EAQNV,1,1,1,0,72,1,2,2,0,1,0,0,1,1,1,1,3,97.25,7133.1,0
216,6797-UCJHZ,2,1,1,0,66,1,2,2,0,1,1,0,1,1,1,0,3,104.6,6819.45,0
217,7402-EYFXX,1,1,0,0,26,1,2,2,0,0,0,0,1,1,0,1,0,93.6,2404.1,0
218,4195-PNGZS,1,0,1,1,69,1,2,0,2,2,2,2,2,2,2,0,2,24.45,1718.2,0
219,9625-QNLUX,1,0,1,1,68,1,1,2,1,1,1,0,1,1,2,1,3,103.25,7074.4,0
220,5955-EPOAZ,2,0,0,0,6,1,1,0,2,2,2,2,2,2,0,1,1,20.95,109.5,0
221,4730-AWNAU,1,0,1,1,36,0,0,1,1,0,1,1,1,1,1,0,3,60.7,2234.55,0
222,0963-ZBDRN,1,0,0,0,32,1,1,2,0,0,0,1,1,1,0,1,0,96.2,3183.4,1
223,2207-OBZNX,1,0,0,0,7,1,1,1,1,0,0,0,0,0,0,1,1,51.0,354.05,1
224,5312-UXESG,2,0,0,0,41,1,2,2,0,0,1,0,1,1,0,0,2,98.05,3990.6,0
225,4109-CYRBD,1,1,1,0,29,1,2,1,0,0,0,0,0,0,0,1,0,51.6,1442.0,0
226,5975-BAICR,1,0,1,1,36,1,1,1,1,0,1,0,0,1,1,1,3,63.7,2188.5,0
227,9184-GALIL,2,0,1,1,38,1,1,0,2,2,2,2,2,2,0,0,1,20.45,781.25,0
228,4664-NJCMS,2,0,1,0,33,0,0,1,1,0,1,1,1,1,2,0,2,59.55,2016.3,0
229,4732-RRJZC,1,0,1,1,7,1,1,0,2,2,2,2,2,2,0,0,1,20.25,144.35,0
230,3717-FDJFU,1,0,0,1,5,1,1,0,2,2,2,2,2,2,2,0,1,20.45,106.9,0
231,0822-QGCXA,2,1,1,0,27,1,2,1,0,1,1,1,1,1,0,0,0,83.85,2310.2,0
232,1371-DWPAZ,2,0,1,1,0,0,0,1,1,1,1,1,1,0,2,0,3,56.05,0.0,0
233,7785-RDVIG,2,0,1,1,3,1,1,0,2,2,2,2,2,2,0,0,1,19.3,54.7,0
234,4003-OCTMP,2,0,1,0,31,1,1,1,1,0,0,1,0,1,1,1,0,64.0,1910.75,0
235,7945-PRBVF,1,0,0,0,35,1,1,0,2,2,2,2,2,2,2,0,2,21.45,705.45,0
236,1352-VHKAJ,1,0,1,1,27,1,2,1,0,0,0,1,1,1,0,0,2,71.6,1957.1,0
237,8495-LJDFO,2,1,0,0,64,1,2,2,1,0,1,1,1,1,0,1,2,108.95,7111.3,0
238,9975-SKRNR,1,0,0,0,1,1,1,0,2,2,2,2,2,2,0,0,1,18.9,18.9,0
239,3704-IEAXF,2,0,1,1,72,0,0,1,0,1,0,1,1,1,2,0,3,53.65,3784.0,0
