,ID,性別,年齢区分,婚姻有無,扶養家族,利用月数,電話ｻｰﾋﾞｽ,電話回線数,ｲﾝﾀｰﾈｯﾄｻｰﾋﾞｽ,ｾｷｭﾘﾃｨｻｰﾋﾞｽ,ﾊﾞｯｸｱｯﾌﾟｻｰﾋﾞｽ,機器予防ｻｰﾋﾞｽ,ﾃｸﾆｶﾙｻﾎﾟｰﾄ,ｽﾄﾘｰﾐﾝｸﾞｻｰﾋﾞｽ(TV),ｽﾄﾘｰﾐﾝｸﾞｻｰﾋﾞｽ(映画),契約形態,請求書,支払方法,月額支払額,通算支払額,解約
19,4993-JCRGJ,男,非高齢者,未婚,なし,26,あり,複数回線,Fiber optic,なし,なし,あり,あり,なし,なし,毎月更新,電子請求書,郵送小切手,84.3,2281.6,No
20,7957-RYHQD,女,高齢者,未婚,なし,40,あり,1回線,Fiber optic,あり,あり,なし,なし,なし,なし,毎月更新,電子請求書,クレジットカード,79.2,3233.85,Yes
21,8445-DNBAE,男,非高齢者,未婚,あり,1,あり,複数回線,DSL,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,50.05,50.05,No
22,0895-UADGO,男,非高齢者,未婚,あり,8,なし,電話契約なし,DSL,あり,なし,なし,あり,なし,あり,2年更新,電子請求書,郵送小切手,44.55,343.45,No
23,0096-BXERS,女,非高齢者,既婚,なし,6,あり,複数回線,DSL,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,電子決済,50.35,314.55,No
24,2725-IWWBA,男,非高齢者,既婚,あり,46,あり,1回線,DSL,あり,なし,あり,あり,なし,なし,1年更新,紙請求書,郵送小切手,56.9,2560.1,No
25,8378-LKJAF,男,非高齢者,既婚,あり,38,あり,複数回線,Fiber optic,なし,なし,あり,なし,あり,あり,毎月更新,電子請求書,クレジットカード,101.15,3956.7,No
26,2978-XXSOG,女,非高齢者,未婚,なし,22,あり,複数回線,DSL,あり,なし,なし,あり,なし,なし,毎月更新,電子請求書,郵送小切手,59.05,1253.5,No
27,5590-ZSKRV,女,非高齢者,既婚,あり,8,あり,1回線,DSL,あり,あり,なし,なし,なし,なし,毎月更新,紙請求書,郵送小切手,54.65,482.25,No
28,0369-ZGOVK,女,非高齢者,既婚,あり,28,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,なし,1年更新,電子請求書,口座引き落とし,70.4,1992.2,No
29,1735-XMJVH,男,非高齢者,既婚,あり,8,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,電子請求書,郵送小切手,19.35,152.6,No
30,4803-AXVYP,女,高齢者,未婚,なし,38,あり,複数回線,Fiber optic,なし,なし,なし,あり,あり,あり,毎月更新,電子請求書,電子決済,99.55,3734.25,Yes
31,3312-UUMZW,男,非高齢者,既婚,なし,32,あり,複数回線,Fiber optic,なし,あり,なし,なし,あり,あり,毎月更新,電子請求書,クレジットカード,98.85,3145.9,No
32,7825-GKXMW,女,非高齢者,未婚,なし,1,あり,1回線,DSL,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,電子決済,45.8,45.8,Yes
33,6961-VCPMC,男,高齢者,既婚,なし,46,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,あり,毎月更新,電子請求書,電子決済,80.4,3605.2,Yes
34,1744-JHKYS,女,非高齢者,既婚,なし,34,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,電子決済,24.7,780.2,No
35,1262-OPMFY,女,非高齢者,既婚,なし,9,あり,1回線,Fiber optic,なし,なし,あり,なし,なし,なし,毎月更新,電子請求書,口座引き落とし,75.75,655.9,Yes
36,8774-GSBUN,男,非高齢者,既婚,なし,72,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,郵送小切手,25.4,1797.1,No
37,8707-RMEZH,女,高齢者,既婚,なし,69,あり,1回線,Fiber optic,あり,あり,なし,なし,なし,あり,1年更新,紙請求書,クレジットカード,87.3,6055.55,No
38,0749-IRGQE,女,高齢者,既婚,なし,13,なし,電話契約なし,DSL,なし,なし,なし,なし,あり,あり,毎月更新,紙請求書,電子決済,45.3,528.45,No
39,2924-KHUVI,男,非高齢者,既婚,なし,56,あり,複数回線,Fiber optic,あり,なし,なし,なし,あり,あり,1年更新,電子請求書,電子決済,100.55,5514.95,No
40,3413-DHLPB,男,非高齢者,既婚,あり,60,あり,複数回線,Fiber optic,なし,あり,なし,あり,あり,あり,毎月更新,電子請求書,口座引き落とし,103.75,5969.95,No
41,4847-TAJYI,女,高齢者,未婚,なし,6,あり,1回線,Fiber optic,なし,なし,なし,なし,あり,あり,毎月更新,電子請求書,電子決済,89.35,567.8,No
42,5847-MXBEO,男,非高齢者,未婚,なし,22,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,紙請求書,郵送小切手,20.3,475.1,No
43,6791-YBNAK,男,非高齢者,既婚,あり,18,なし,電話契約なし,DSL,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,クレジットカード,25.55,467.85,No
44,2359-QWQUL,女,非高齢者,既婚,なし,39,あり,1回線,Fiber optic,あり,なし,あり,あり,あり,あり,1年更新,電子請求書,クレジットカード,104.7,4134.85,Yes
45,5747-PMBSQ,男,高齢者,既婚,なし,10,あり,1回線,Fiber optic,なし,あり,あり,あり,あり,なし,毎月更新,電子請求書,郵送小切手,92.5,934.1,Yes
46,3874-EQOEP,男,非高齢者,未婚,なし,7,あり,複数回線,Fiber optic,なし,なし,なし,なし,あり,あり,毎月更新,紙請求書,郵送小切手,95.0,655.5,Yes
47,7217-JYHOQ,男,非高齢者,既婚,あり,24,あり,1回線,DSL,あり,あり,なし,あり,なし,あり,毎月更新,電子請求書,クレジットカード,70.3,1706.45,No
48,1166-PQLGG,女,非高齢者,既婚,あり,72,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,19.55,1463.45,No
49,4236-UJPWO,女,非高齢者,未婚,なし,2,なし,電話契約なし,DSL,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,電子決済,24.5,46.4,No
50,7941-RCJOW,男,非高齢者,未婚,なし,65,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,クレジットカード,19.55,1218.65,No
51,2330-PQGDQ,男,非高齢者,既婚,あり,51,あり,複数回線,Fiber optic,なし,あり,なし,あり,なし,なし,1年更新,紙請求書,口座引き落とし,84.2,4299.75,No
52,4567-AKPIA,女,非高齢者,既婚,あり,41,あり,複数回線,Fiber optic,なし,あり,あり,あり,あり,あり,1年更新,電子請求書,口座引き落とし,109.1,4454.25,No
53,3196-NVXLZ,女,非高齢者,未婚,なし,25,あり,複数回線,Fiber optic,なし,なし,なし,なし,あり,なし,毎月更新,電子請求書,郵送小切手,84.6,2088.05,No
54,0409-WTMPL,女,非高齢者,既婚,なし,58,あり,複数回線,Fiber optic,あり,あり,あり,なし,あり,あり,1年更新,電子請求書,クレジットカード,110.65,6526.65,No
55,8263-OKETD,女,非高齢者,未婚,なし,20,あり,複数回線,DSL,なし,あり,なし,あり,なし,あり,毎月更新,電子請求書,クレジットカード,68.9,1370.35,No
56,0730-BGQGF,男,非高齢者,既婚,あり,71,あり,複数回線,DSL,あり,あり,あり,あり,あり,あり,2年更新,紙請求書,クレジットカード,90.3,6287.3,No
57,4353-HYOJD,女,非高齢者,既婚,あり,27,あり,1回線,DSL,なし,あり,なし,なし,なし,なし,毎月更新,紙請求書,郵送小切手,49.85,1336.15,No
58,4256-ZWTZI,女,非高齢者,未婚,あり,5,あり,1回線,DSL,なし,なし,なし,あり,なし,なし,毎月更新,電子請求書,郵送小切手,51.0,286.8,No
59,1550-EENBN,女,非高齢者,未婚,なし,31,あり,複数回線,Fiber optic,あり,あり,なし,なし,あり,あり,毎月更新,紙請求書,電子決済,104.35,3205.6,No
60,0757-WCUUZ,男,非高齢者,既婚,あり,54,あり,複数回線,DSL,なし,なし,あり,なし,なし,あり,2年更新,紙請求書,クレジットカード,63.35,3409.1,No
61,1089-HDMKP,男,高齢者,未婚,あり,11,あり,1回線,DSL,なし,あり,なし,あり,なし,なし,毎月更新,電子請求書,電子決済,54.55,601.25,No
62,4060-LDNLU,男,非高齢者,未婚,なし,7,あり,複数回線,Fiber optic,なし,なし,なし,なし,あり,あり,毎月更新,紙請求書,電子決済,96.2,639.7,No
63,7581-EBBOU,女,非高齢者,未婚,なし,60,あり,1回線,DSL,なし,あり,あり,あり,あり,なし,1年更新,電子請求書,クレジットカード,70.15,4224.7,No
64,3143-JQEGI,女,非高齢者,既婚,あり,13,あり,1回線,Fiber optic,なし,なし,なし,なし,あり,あり,毎月更新,紙請求書,電子決済,88.35,1222.8,Yes
65,1439-LCGVL,女,非高齢者,既婚,なし,26,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,紙請求書,郵送小切手,19.2,459.6,No
66,4083-BFNYK,女,高齢者,既婚,なし,38,あり,複数回線,Fiber optic,あり,あり,なし,なし,なし,あり,1年更新,紙請求書,クレジットカード,95.0,3591.25,No
67,0872-NXJYS,女,非高齢者,未婚,なし,9,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,あり,毎月更新,電子請求書,電子決済,79.55,723.4,Yes
68,9408-SSNVZ,女,非高齢者,未婚,なし,4,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,70.15,268.35,Yes
69,7851-FLGGQ,男,非高齢者,未婚,なし,1,なし,電話契約なし,DSL,なし,あり,なし,あり,なし,あり,毎月更新,電子請求書,郵送小切手,44.65,44.65,Yes
70,2988-QRAJY,男,非高齢者,未婚,なし,69,あり,複数回線,Fiber optic,あり,あり,あり,なし,あり,あり,2年更新,電子請求書,クレジットカード,110.05,7430.75,No
71,6000-UKLWI,男,非高齢者,未婚,なし,41,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,郵送小切手,20.15,802.35,No
72,9405-GPBBG,女,非高齢者,未婚,なし,64,あり,複数回線,Fiber optic,なし,あり,あり,あり,あり,あり,2年更新,電子請求書,クレジットカード,110.5,7069.25,No
73,0993-OSGPT,女,高齢者,既婚,なし,68,あり,1回線,DSL,なし,あり,あり,あり,なし,なし,1年更新,電子請求書,口座引き落とし,60.65,3975.9,No
74,2465-BLLEU,男,非高齢者,未婚,なし,1,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,電子請求書,郵送小切手,19.75,19.75,No
75,2466-NEJOJ,男,非高齢者,既婚,あり,8,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,クレジットカード,19.65,169.75,No
76,4837-QUSFT,女,非高齢者,既婚,なし,65,あり,複数回線,Fiber optic,あり,あり,なし,あり,あり,なし,1年更新,電子請求書,口座引き落とし,100.15,6643.5,No
77,9753-OYLBX,女,非高齢者,未婚,なし,1,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,20.5,20.5,No
78,5792-JALQC,女,高齢者,未婚,なし,52,あり,複数回線,DSL,あり,なし,あり,なし,なし,なし,2年更新,紙請求書,口座引き落とし,59.85,3103.25,No
79,6900-PXRMS,男,高齢者,既婚,あり,26,あり,複数回線,Fiber optic,なし,あり,あり,なし,あり,あり,毎月更新,紙請求書,電子決済,105.75,2710.25,Yes
80,4983-CLMLV,女,非高齢者,既婚,なし,52,あり,複数回線,Fiber optic,なし,あり,なし,あり,あり,あり,毎月更新,電子請求書,クレジットカード,102.7,5138.1,No
81,5406-KGRMX,女,非高齢者,未婚,なし,71,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,電子決済,24.55,1719.15,No
82,5982-PSMKW,女,非高齢者,既婚,あり,23,あり,複数回線,DSL,あり,あり,あり,あり,あり,あり,2年更新,電子請求書,クレジットカード,91.1,2198.3,No
83,6230-BSUXY,女,高齢者,未婚,なし,1,あり,1回線,Fiber optic,なし,なし,あり,なし,なし,あり,毎月更新,電子請求書,電子決済,85.0,85.0,Yes
84,4385-ZKVNW,男,非高齢者,既婚,あり,44,あり,1回線,DSL,なし,あり,なし,あり,なし,なし,毎月更新,電子請求書,口座引き落とし,54.9,2549.1,No
85,0310-MVLET,女,非高齢者,既婚,あり,61,あり,複数回線,Fiber optic,なし,あり,なし,なし,あり,あり,毎月更新,電子請求書,電子決済,99.15,6010.05,Yes
86,5778-BVOFB,女,非高齢者,未婚,なし,9,あり,1回線,DSL,なし,なし,なし,あり,あり,なし,毎月更新,電子請求書,口座引き落とし,59.5,530.05,No
87,0379-DJQHR,男,非高齢者,既婚,あり,67,あり,1回線,DSL,あり,あり,あり,なし,あり,あり,2年更新,紙請求書,クレジットカード,81.35,5398.6,No
88,2236-HILPA,男,非高齢者,既婚,あり,62,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,クレジットカード,20.65,1218.45,No
89,8332-OSJDW,男,非高齢者,既婚,あり,12,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,紙請求書,郵送小切手,26.4,314.95,No
90,2873-ZLIWT,女,非高齢者,既婚,あり,40,あり,複数回線,Fiber optic,なし,なし,あり,あり,なし,なし,毎月更新,電子請求書,電子決済,84.85,3303.05,Yes
91,2805-EDJPQ,女,非高齢者,既婚,あり,56,あり,複数回線,Fiber optic,なし,あり,あり,あり,なし,あり,1年更新,電子請求書,クレジットカード,99.75,5608.4,No
92,5047-LHVLY,男,高齢者,未婚,あり,1,あり,1回線,DSL,なし,なし,あり,なし,なし,なし,毎月更新,電子請求書,郵送小切手,50.15,50.15,Yes
93,9764-REAFF,女,非高齢者,既婚,なし,59,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,18.4,1057.85,No
94,1092-WPIVQ,女,非高齢者,既婚,あり,18,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,郵送小切手,25.1,428.45,No
95,6837-HAEVO,男,非高齢者,既婚,あり,69,あり,複数回線,Fiber optic,なし,あり,あり,なし,あり,あり,2年更新,電子請求書,電子決済,105.0,7297.75,No
96,1485-YDHMM,男,非高齢者,既婚,あり,52,あり,複数回線,Fiber optic,なし,あり,なし,あり,なし,あり,毎月更新,電子請求書,口座引き落とし,93.25,4631.7,No
97,9026-RNUJS,男,高齢者,未婚,なし,5,あり,1回線,DSL,なし,なし,あり,なし,なし,なし,毎月更新,紙請求書,電子決済,50.35,237.25,Yes
98,1391-UBDAR,男,非高齢者,未婚,なし,11,あり,1回線,Fiber optic,なし,なし,あり,なし,なし,なし,毎月更新,紙請求書,電子決済,72.9,818.45,No
99,1010-DIAUQ,男,非高齢者,未婚,なし,5,あり,1回線,Fiber optic,なし,なし,あり,なし,あり,あり,毎月更新,紙請求書,口座引き落とし,96.5,492.55,Yes
100,6993-OHLXR,女,非高齢者,未婚,なし,2,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,電子決済,68.95,119.75,Yes
101,8231-BSWXX,男,非高齢者,未婚,なし,71,あり,複数回線,Fiber optic,なし,あり,なし,なし,なし,なし,1年更新,電子請求書,クレジットカード,79.05,5552.5,No
102,6813-GZQCG,女,非高齢者,既婚,あり,45,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,クレジットカード,24.65,1171.3,No
103,2782-LFZVW,女,非高齢者,未婚,なし,11,あり,複数回線,DSL,なし,なし,なし,なし,なし,あり,毎月更新,電子請求書,郵送小切手,58.95,601.6,No
104,6733-LRIZX,男,非高齢者,未婚,なし,35,あり,複数回線,Fiber optic,あり,なし,あり,あり,あり,あり,2年更新,電子請求書,電子決済,108.95,4025.5,No
105,9227-LUNBG,女,非高齢者,未婚,なし,1,なし,電話契約なし,DSL,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,電子決済,24.6,24.6,Yes
106,7075-BNDVQ,女,非高齢者,未婚,なし,4,なし,電話契約なし,DSL,あり,なし,あり,なし,なし,なし,毎月更新,紙請求書,郵送小切手,35.0,135.75,No
107,5196-WPYOW,男,非高齢者,既婚,あり,67,あり,1回線,DSL,あり,あり,なし,あり,なし,なし,1年更新,紙請求書,郵送小切手,60.05,3994.05,No
108,3675-YDUPJ,男,非高齢者,未婚,なし,10,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,電子請求書,郵送小切手,19.85,193.05,No
109,3737-XBQDD,男,非高齢者,未婚,なし,24,あり,複数回線,Fiber optic,なし,あり,あり,なし,なし,なし,毎月更新,電子請求書,口座引き落とし,84.85,2048.8,No
110,1866-DIOQZ,女,非高齢者,既婚,なし,71,なし,電話契約なし,DSL,あり,あり,あり,あり,あり,あり,1年更新,紙請求書,口座引き落とし,66.8,4689.15,No
111,5980-NOPLP,女,非高齢者,既婚,なし,44,あり,複数回線,Fiber optic,なし,なし,なし,なし,あり,あり,毎月更新,電子請求書,電子決済,96.1,4364.1,Yes
112,1699-HPSBG,男,非高齢者,未婚,なし,12,あり,1回線,DSL,なし,なし,なし,あり,あり,なし,1年更新,電子請求書,電子決済,59.8,727.8,Yes
113,0835-DUUIQ,女,非高齢者,未婚,あり,24,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,紙請求書,口座引き落とし,21.05,531.55,No
114,0750-EBAIU,男,非高齢者,未婚,なし,52,あり,1回線,Fiber optic,あり,なし,あり,なし,あり,なし,1年更新,紙請求書,電子決済,91.25,4738.3,No
115,3486-NPGST,女,非高齢者,未婚,なし,36,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,紙請求書,郵送小切手,19.55,620.75,No
116,8016-ZMGMO,女,高齢者,既婚,なし,66,あり,複数回線,DSL,なし,あり,あり,なし,あり,なし,1年更新,電子請求書,口座引き落とし,70.85,4738.85,No
117,1618-CFHME,女,非高齢者,未婚,なし,2,あり,複数回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,75.9,143.35,Yes
118,6295-OSINB,男,非高齢者,既婚,なし,72,あり,複数回線,Fiber optic,あり,あり,あり,なし,あり,あり,2年更新,電子請求書,電子決済,109.65,7880.25,No
119,4324-BZCKL,女,非高齢者,既婚,あり,10,あり,1回線,DSL,なし,あり,あり,なし,なし,なし,毎月更新,電子請求書,郵送小切手,55.55,551.3,No
120,3750-CKVKH,男,非高齢者,未婚,なし,2,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,67.75,116.65,Yes
121,1432-FPAXX,女,非高齢者,未婚,なし,29,なし,電話契約なし,DSL,なし,あり,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,30.6,856.35,Yes
122,3068-OMWZA,男,高齢者,未婚,なし,1,あり,複数回線,Fiber optic,なし,なし,あり,なし,あり,なし,毎月更新,電子請求書,電子決済,88.8,88.8,Yes
123,2495-KZNFB,女,非高齢者,未婚,なし,33,あり,複数回線,Fiber optic,あり,なし,なし,なし,なし,あり,毎月更新,電子請求書,電子決済,90.65,2989.6,No
124,1941-HOSAM,男,非高齢者,既婚,あり,1,あり,1回線,Fiber optic,なし,なし,なし,なし,あり,あり,毎月更新,電子請求書,電子決済,90.1,90.1,No
125,4366-CTOUZ,女,非高齢者,未婚,なし,50,あり,1回線,Fiber optic,なし,あり,なし,あり,あり,あり,2年更新,電子請求書,郵送小切手,100.2,5038.45,No
126,0835-JKADZ,女,非高齢者,未婚,なし,71,あり,複数回線,Fiber optic,なし,あり,あり,あり,あり,あり,2年更新,電子請求書,電子決済,111.25,7984.15,No
127,8008-ESFLK,女,非高齢者,既婚,なし,53,あり,1回線,Fiber optic,あり,あり,あり,あり,あり,あり,1年更新,紙請求書,電子決済,110.5,5835.5,No
128,9453-PATOS,女,非高齢者,既婚,なし,72,あり,1回線,DSL,あり,あり,あり,あり,あり,あり,2年更新,紙請求書,郵送小切手,85.1,6155.4,No
129,1480-IVEVR,男,高齢者,既婚,なし,35,あり,複数回線,Fiber optic,なし,なし,あり,なし,なし,なし,1年更新,電子請求書,口座引き落とし,81.6,2815.25,No
130,5651-WYIPH,女,高齢者,未婚,なし,18,あり,1回線,DSL,なし,あり,なし,なし,なし,なし,毎月更新,電子請求書,クレジットカード,49.85,865.75,No
131,6651-RLGGM,男,非高齢者,既婚,あり,67,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,郵送小切手,26.3,1688.9,No
132,5285-MVEHD,女,非高齢者,既婚,なし,56,あり,1回線,Fiber optic,あり,あり,あり,なし,あり,あり,1年更新,電子請求書,クレジットカード,105.6,6068.65,No
133,6244-BESBM,男,非高齢者,既婚,あり,69,あり,1回線,Fiber optic,なし,なし,なし,あり,あり,あり,2年更新,電子請求書,クレジットカード,95.2,6671.7,No
134,9692-TUSXH,女,非高齢者,未婚,なし,18,あり,1回線,Fiber optic,あり,なし,なし,なし,あり,あり,毎月更新,電子請求書,電子決済,96.05,1740.7,Yes
135,5537-UXXVS,女,非高齢者,既婚,なし,20,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,口座引き落とし,19.25,375.25,No
136,5159-YFPKQ,女,非高齢者,未婚,なし,2,あり,1回線,Fiber optic,なし,なし,あり,なし,なし,なし,毎月更新,電子請求書,電子決済,75.8,160.75,Yes
137,0508-SQWPL,女,非高齢者,既婚,あり,57,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,口座引き落とし,20.1,1087.7,No
138,9680-NIAUV,女,非高齢者,既婚,あり,72,あり,複数回線,Fiber optic,あり,あり,あり,なし,あり,あり,2年更新,紙請求書,クレジットカード,109.7,8129.3,No
139,2259-OUUSZ,男,非高齢者,未婚,なし,7,なし,電話契約なし,DSL,なし,なし,あり,あり,なし,なし,1年更新,電子請求書,クレジットカード,35.5,249.55,No
140,5701-ZIKJE,男,非高齢者,未婚,なし,13,あり,1回線,DSL,なし,なし,なし,あり,なし,なし,毎月更新,電子請求書,郵送小切手,50.55,610.75,No
141,7398-HPYZQ,男,非高齢者,既婚,なし,71,あり,複数回線,DSL,あり,あり,あり,あり,あり,あり,2年更新,紙請求書,口座引き落とし,90.55,6404.0,No
142,7472-EQOAV,男,高齢者,既婚,あり,71,あり,1回線,Fiber optic,あり,あり,あり,なし,なし,なし,1年更新,電子請求書,口座引き落とし,86.7,6179.35,No
143,4177-JPDFU,男,非高齢者,未婚,なし,12,なし,電話契約なし,DSL,なし,あり,なし,あり,なし,なし,毎月更新,紙請求書,郵送小切手,34.0,442.45,No
