ID,性別,高齢者フラグ,既婚,扶養家族,在職期間,電話サービス,複数回線,インターネットサービス,セキュリティサービス,バックアップサービス,機器予防サービス,テクニカルサポート,ストリーミングサービス（TV),ストリーミングサービス（映画),契約期間,電子請求書,支払い方法,月額支払額,通算支払額,解約
1680-VDCWW,男性,非高齢者,既婚,なし,12,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,紙請求書,口座引き落とし,19.8,202.25,No
1066-JKSGK,男性,非高齢者,未婚,なし,1,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,20.15,20.15,Yes
3638-WEABW,女性,非高齢者,既婚,なし,58,あり,複数回線,DSL,なし,あり,なし,あり,なし,なし,2年更新,電子請求書,クレジットカード,59.9,3505.1,No
6322-HRPFA,男性,非高齢者,既婚,あり,49,あり,1回線,DSL,あり,あり,なし,あり,なし,なし,毎月更新,紙請求書,クレジットカード,59.6,2970.3,No
6865-JZNKO,女性,非高齢者,未婚,なし,30,あり,1回線,DSL,あり,あり,なし,なし,なし,なし,毎月更新,電子請求書,口座引き落とし,55.3,1530.6,No
6467-CHFZW,男性,非高齢者,既婚,あり,47,あり,複数回線,Fiber optic,なし,あり,なし,なし,あり,あり,毎月更新,電子請求書,電子決済,99.35,4749.15,Yes
8665-UTDHZ,男性,非高齢者,既婚,あり,1,なし,電話契約なし,DSL,なし,あり,なし,なし,なし,なし,毎月更新,紙請求書,電子決済,30.2,30.2,Yes
5248-YGIJN,男性,非高齢者,既婚,なし,72,あり,複数回線,DSL,あり,あり,あり,あり,あり,あり,2年更新,電子請求書,クレジットカード,90.25,6369.45,No
8773-HHUOZ,女性,非高齢者,未婚,あり,17,あり,1回線,DSL,なし,なし,なし,なし,あり,あり,毎月更新,電子請求書,郵送小切手,64.7,1093.1,Yes
3841-NFECX,女性,高齢者,既婚,なし,71,あり,複数回線,Fiber optic,あり,あり,あり,あり,なし,なし,2年更新,電子請求書,クレジットカード,96.35,6766.95,No
4929-XIHVW,男性,高齢者,既婚,なし,2,あり,1回線,Fiber optic,なし,なし,あり,なし,あり,あり,毎月更新,電子請求書,クレジットカード,95.5,181.65,No
6827-IEAUQ,女性,非高齢者,既婚,あり,27,あり,1回線,DSL,あり,あり,あり,あり,なし,なし,1年更新,紙請求書,郵送小切手,66.15,1874.45,No
7310-EGVHZ,男性,非高齢者,未婚,なし,1,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,口座引き落とし,20.2,20.2,No
3413-BMNZE,男性,高齢者,未婚,なし,1,あり,1回線,DSL,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,口座引き落とし,45.25,45.25,No
6234-RAAPL,女性,非高齢者,既婚,あり,72,あり,複数回線,Fiber optic,あり,あり,なし,あり,あり,なし,2年更新,紙請求書,口座引き落とし,99.9,7251.7,No
6047-YHPVI,男性,非高齢者,未婚,なし,5,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,69.7,316.9,Yes
6572-ADKRS,女性,非高齢者,未婚,なし,46,あり,1回線,Fiber optic,なし,なし,あり,なし,なし,なし,毎月更新,電子請求書,クレジットカード,74.8,3548.3,No
5380-WJKOV,男性,非高齢者,未婚,なし,34,あり,複数回線,Fiber optic,なし,あり,あり,なし,あり,あり,毎月更新,電子請求書,電子決済,106.35,3549.25,Yes
8168-UQWWF,女性,非高齢者,未婚,なし,11,あり,複数回線,Fiber optic,なし,なし,あり,なし,あり,あり,毎月更新,電子請求書,口座引き落とし,97.85,1105.4,Yes
8865-TNMNX,男性,非高齢者,既婚,あり,10,あり,1回線,DSL,なし,あり,なし,なし,なし,なし,1年更新,紙請求書,郵送小切手,49.55,475.7,No
9489-DEDVP,女性,非高齢者,既婚,あり,70,あり,複数回線,DSL,あり,あり,なし,なし,あり,なし,2年更新,電子請求書,クレジットカード,69.2,4872.35,No
9867-JCZSP,女性,非高齢者,既婚,あり,17,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,紙請求書,郵送小切手,20.75,418.25,No
4671-VJLCL,女性,非高齢者,未婚,なし,63,あり,複数回線,DSL,あり,あり,あり,あり,あり,なし,2年更新,電子請求書,クレジットカード,79.85,4861.45,No
4080-IIARD,女性,非高齢者,既婚,なし,13,あり,複数回線,DSL,あり,あり,なし,あり,あり,なし,毎月更新,電子請求書,電子決済,76.2,981.45,No
3714-NTNFO,女性,非高齢者,未婚,なし,49,あり,複数回線,Fiber optic,なし,なし,なし,なし,なし,あり,毎月更新,電子請求書,電子決済,84.5,3906.7,No
5948-UJZLF,男性,非高齢者,未婚,なし,2,あり,1回線,DSL,なし,あり,なし,なし,なし,なし,毎月更新,紙請求書,郵送小切手,49.25,97,No
7760-OYPDY,女性,非高齢者,未婚,なし,2,あり,1回線,Fiber optic,なし,なし,なし,なし,あり,なし,毎月更新,電子請求書,電子決済,80.65,144.15,Yes
7639-LIAYI,男性,非高齢者,未婚,なし,52,あり,複数回線,DSL,あり,なし,なし,あり,あり,あり,2年更新,電子請求書,クレジットカード,79.75,4217.8,No
2954-PIBKO,女性,非高齢者,既婚,あり,69,あり,複数回線,DSL,あり,なし,あり,あり,なし,なし,2年更新,電子請求書,クレジットカード,64.15,4254.1,No
8012-SOUDQ,女性,高齢者,未婚,なし,43,あり,複数回線,Fiber optic,なし,あり,なし,なし,あり,なし,毎月更新,電子請求書,電子決済,90.25,3838.75,No
9420-LOJKX,女性,非高齢者,未婚,なし,15,あり,1回線,Fiber optic,あり,あり,なし,なし,あり,あり,毎月更新,電子請求書,クレジットカード,99.1,1426.4,Yes
6575-SUVOI,女性,高齢者,既婚,なし,25,あり,複数回線,DSL,あり,なし,なし,あり,あり,なし,毎月更新,電子請求書,クレジットカード,69.5,1752.65,No
7495-OOKFY,女性,高齢者,既婚,なし,8,あり,複数回線,Fiber optic,なし,あり,なし,なし,なし,なし,毎月更新,電子請求書,クレジットカード,80.65,633.3,Yes
4667-QONEA,女性,高齢者,既婚,あり,60,あり,1回線,DSL,あり,あり,あり,あり,なし,あり,1年更新,電子請求書,クレジットカード,74.85,4456.35,No
1658-BYGOY,男性,高齢者,未婚,なし,18,あり,複数回線,Fiber optic,なし,なし,なし,なし,あり,あり,毎月更新,電子請求書,電子決済,95.45,1752.55,Yes
8769-KKTPH,女性,非高齢者,既婚,あり,63,あり,複数回線,Fiber optic,あり,なし,なし,なし,あり,あり,1年更新,電子請求書,クレジットカード,99.65,6311.2,No
5067-XJQFU,男性,高齢者,既婚,あり,66,あり,複数回線,Fiber optic,なし,あり,あり,あり,あり,あり,1年更新,電子請求書,電子決済,108.45,7076.35,No
3957-SQXML,女性,非高齢者,既婚,あり,34,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,クレジットカード,24.95,894.3,No
5954-BDFSG,女性,非高齢者,未婚,なし,72,あり,複数回線,Fiber optic,なし,なし,あり,あり,あり,あり,2年更新,電子請求書,クレジットカード,107.5,7853.7,No
0434-CSFON,女性,非高齢者,既婚,なし,47,あり,複数回線,Fiber optic,なし,なし,あり,なし,あり,あり,毎月更新,電子請求書,電子決済,100.5,4707.1,No
1215-FIGMP,男性,非高齢者,未婚,なし,60,あり,複数回線,Fiber optic,なし,あり,なし,なし,あり,なし,毎月更新,電子請求書,口座引き落とし,89.9,5450.7,No
0526-SXDJP,男性,非高齢者,既婚,なし,72,なし,電話契約なし,DSL,あり,あり,あり,なし,なし,なし,2年更新,紙請求書,口座引き落とし,42.1,2962,No
0557-ASKVU,女性,非高齢者,既婚,あり,18,あり,1回線,DSL,なし,なし,あり,あり,なし,なし,1年更新,電子請求書,クレジットカード,54.4,957.1,No
5698-BQJOH,女性,非高齢者,未婚,なし,9,あり,複数回線,Fiber optic,なし,なし,なし,なし,あり,あり,毎月更新,紙請求書,電子決済,94.4,857.25,Yes
5122-CYFXA,女性,非高齢者,未婚,なし,3,あり,1回線,DSL,なし,あり,なし,あり,あり,あり,毎月更新,電子請求書,電子決済,75.3,244.1,No
8627-ZYGSZ,男性,非高齢者,既婚,なし,47,あり,複数回線,Fiber optic,なし,あり,なし,なし,なし,なし,1年更新,電子請求書,電子決済,78.9,3650.35,No
3410-YOQBQ,女性,非高齢者,未婚,なし,31,あり,1回線,DSL,なし,あり,あり,あり,あり,あり,2年更新,紙請求書,郵送小切手,79.2,2497.2,No
3170-NMYVV,女性,非高齢者,既婚,あり,50,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,20.15,930.9,No
7410-OIEDU,男性,非高齢者,未婚,なし,10,あり,1回線,Fiber optic,あり,なし,あり,なし,なし,なし,毎月更新,電子請求書,郵送小切手,79.85,887.35,No
2273-QCKXA,男性,非高齢者,未婚,なし,1,あり,1回線,DSL,なし,なし,なし,あり,なし,なし,毎月更新,紙請求書,郵送小切手,49.05,49.05,No
0731-EBJQB,女性,非高齢者,既婚,あり,52,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,電子請求書,電子決済,20.4,1090.65,No
1891-QRQSA,男性,高齢者,既婚,あり,64,あり,複数回線,Fiber optic,あり,なし,あり,あり,あり,あり,2年更新,電子請求書,口座引き落とし,111.6,7099,No
8028-PNXHQ,男性,非高齢者,既婚,あり,62,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,口座引き落とし,24.25,1424.6,No
5630-AHZIL,女性,非高齢者,未婚,あり,3,あり,1回線,DSL,あり,なし,なし,あり,なし,あり,毎月更新,電子請求書,口座引き落とし,64.5,177.4,No
2673-CXQEU,女性,高齢者,未婚,なし,56,あり,複数回線,Fiber optic,あり,あり,あり,なし,あり,あり,1年更新,紙請求書,電子決済,110.5,6139.5,No
6416-JNVRK,女性,非高齢者,未婚,なし,46,あり,1回線,DSL,なし,なし,なし,なし,なし,あり,1年更新,紙請求書,クレジットカード,55.65,2688.85,No
5590-ZSKRV,女性,非高齢者,既婚,あり,8,あり,1回線,DSL,あり,あり,なし,なし,なし,なし,毎月更新,紙請求書,郵送小切手,54.65,482.25,No
0191-ZHSKZ,男性,高齢者,未婚,なし,30,あり,1回線,DSL,あり,あり,なし,なし,あり,あり,毎月更新,電子請求書,電子決済,74.75,2111.3,No
3887-PBQAO,女性,非高齢者,既婚,あり,45,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,電子請求書,クレジットカード,25.9,1216.6,No
5919-TMRGD,女性,非高齢者,未婚,あり,1,あり,1回線,Fiber optic,なし,なし,なし,なし,あり,なし,毎月更新,電子請求書,電子決済,79.35,79.35,Yes
8108-UXRQN,女性,非高齢者,既婚,あり,11,なし,電話契約なし,DSL,あり,なし,なし,なし,あり,あり,毎月更新,紙請求書,電子決済,50.55,565.35,No
9191-MYQKX,女性,非高齢者,既婚,なし,7,あり,1回線,Fiber optic,なし,なし,あり,なし,なし,なし,毎月更新,電子請求書,口座引き落とし,75.15,496.9,Yes
9919-YLNNG,女性,非高齢者,未婚,なし,42,あり,1回線,Fiber optic,なし,あり,あり,あり,あり,あり,毎月更新,電子請求書,口座引き落とし,103.8,4327.5,No
0318-ZOPWS,女性,非高齢者,既婚,なし,49,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,口座引き落とし,20.15,973.35,No
4445-ZJNMU,男性,非高齢者,未婚,なし,9,あり,複数回線,Fiber optic,なし,あり,なし,なし,あり,あり,毎月更新,電子請求書,クレジットカード,99.3,918.75,No
4808-YNLEU,女性,非高齢者,既婚,なし,35,あり,1回線,DSL,あり,なし,なし,なし,あり,なし,1年更新,電子請求書,口座引き落とし,62.15,2215.45,No
1862-QRWPE,女性,非高齢者,既婚,あり,48,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,20.65,1057,No
2796-NNUFI,女性,非高齢者,既婚,あり,46,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,郵送小切手,19.95,927.1,No
3016-KSVCP,男性,非高齢者,既婚,なし,29,なし,電話契約なし,DSL,なし,なし,なし,なし,あり,なし,毎月更新,紙請求書,郵送小切手,33.75,1009.25,No
4767-HZZHQ,男性,非高齢者,既婚,あり,30,あり,1回線,Fiber optic,なし,あり,あり,なし,なし,なし,毎月更新,紙請求書,口座引き落とし,82.05,2570.2,No
2424-WVHPL,男性,高齢者,未婚,なし,1,あり,1回線,Fiber optic,なし,なし,なし,あり,なし,なし,毎月更新,紙請求書,電子決済,74.7,74.7,No
7233-PAHHL,男性,非高齢者,既婚,あり,66,あり,複数回線,DSL,あり,なし,あり,あり,あり,あり,2年更新,電子請求書,郵送小切手,84,5714.25,No
6067-NGCEU,女性,非高齢者,未婚,なし,65,あり,複数回線,Fiber optic,あり,あり,あり,なし,あり,あり,毎月更新,電子請求書,クレジットカード,111.05,7107,No
9848-JQJTX,男性,非高齢者,未婚,なし,72,あり,複数回線,Fiber optic,なし,あり,あり,なし,あり,あり,2年更新,電子請求書,口座引き落とし,100.9,7459.05,No
8637-XJIVR,女性,非高齢者,未婚,なし,12,あり,複数回線,Fiber optic,あり,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,78.95,927.35,Yes
9803-FTJCG,男性,非高齢者,既婚,あり,71,あり,複数回線,DSL,あり,あり,なし,あり,なし,なし,1年更新,電子請求書,クレジットカード,66.85,4748.7,No
0278-YXOOG,男性,非高齢者,未婚,なし,5,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,21.05,113.85,Yes
3212-KXOCR,男性,非高齢者,未婚,なし,52,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,21,1107.2,No
4598-XLKNJ,女性,高齢者,既婚,なし,25,あり,1回線,Fiber optic,なし,あり,あり,なし,あり,あり,毎月更新,電子請求書,電子決済,98.5,2514.5,Yes
6380-ARCEH,男性,非高齢者,未婚,なし,1,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,20.2,20.2,No
3679-XASPY,女性,非高齢者,既婚,あり,1,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,電子決済,19.45,19.45,No
7123-WQUHX,男性,非高齢者,未婚,なし,38,あり,複数回線,Fiber optic,なし,なし,あり,あり,あり,なし,1年更新,紙請求書,口座引き落とし,95,3605.6,No
5386-THSLQ,女性,高齢者,既婚,なし,66,なし,電話契約なし,DSL,なし,あり,あり,なし,あり,なし,1年更新,紙請求書,口座引き落とし,45.55,3027.25,No
3192-NQECA,男性,非高齢者,既婚,なし,68,あり,複数回線,Fiber optic,なし,あり,あり,あり,あり,あり,2年更新,電子請求書,口座引き落とし,110,7611.85,Yes
6180-YBIQI,男性,非高齢者,未婚,なし,5,なし,電話契約なし,DSL,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,郵送小切手,24.3,100.2,No
6728-DKUCO,女性,非高齢者,既婚,あり,72,あり,複数回線,Fiber optic,あり,あり,なし,なし,あり,あり,1年更新,電子請求書,電子決済,104.15,7303.05,No
9750-BOOHV,女性,非高齢者,未婚,なし,32,なし,電話契約なし,DSL,あり,なし,なし,なし,なし,なし,1年更新,紙請求書,郵送小切手,30.15,927.65,No
8597-CWYHH,男性,非高齢者,未婚,なし,43,あり,複数回線,Fiber optic,なし,なし,なし,なし,あり,あり,1年更新,紙請求書,郵送小切手,94.35,3921.3,No
2848-YXSMW,男性,非高齢者,既婚,あり,72,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,クレジットカード,19.4,1363.25,No
0486-HECZI,男性,非高齢者,既婚,なし,55,あり,複数回線,Fiber optic,あり,あり,なし,なし,あり,なし,毎月更新,電子請求書,電子決済,96.75,5238.9,Yes
4549-ZDQYY,女性,非高齢者,未婚,なし,52,あり,1回線,DSL,あり,なし,あり,あり,なし,なし,1年更新,紙請求書,クレジットカード,57.95,3042.25,No
5712-AHQNN,女性,非高齢者,未婚,なし,43,あり,1回線,Fiber optic,なし,あり,あり,なし,あり,なし,毎月更新,電子請求書,電子決済,91.65,3954.1,No
4846-WHAFZ,女性,高齢者,既婚,なし,37,あり,複数回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,76.5,2868.15,Yes
5256-SKJGO,女性,非高齢者,既婚,あり,64,なし,電話契約なし,DSL,なし,あり,なし,あり,あり,あり,2年更新,電子請求書,電子決済,54.6,3423.5,No
3071-VBYPO,男性,非高齢者,既婚,あり,3,あり,1回線,Fiber optic,あり,あり,なし,なし,あり,なし,毎月更新,紙請求書,電子決済,89.85,248.4,No
9560-BBZXK,女性,非高齢者,未婚,なし,36,なし,電話契約なし,DSL,あり,なし,なし,なし,なし,なし,2年更新,紙請求書,口座引き落とし,31.05,1126.35,No
5299-RULOA,女性,非高齢者,既婚,あり,10,あり,複数回線,Fiber optic,あり,なし,なし,なし,あり,あり,毎月更新,電子請求書,電子決済,100.25,1064.65,Yes
8402-OOOHJ,女性,非高齢者,未婚,なし,41,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,郵送小切手,20.65,835.15,No
9445-ZUEQE,男性,非高齢者,既婚,あり,27,あり,複数回線,Fiber optic,なし,あり,なし,あり,なし,なし,毎月更新,電子請求書,クレジットカード,85.2,2151.6,No
1091-SOZGA,女性,非高齢者,既婚,あり,56,あり,複数回線,Fiber optic,なし,なし,あり,なし,あり,あり,1年更新,電子請求書,クレジットカード,99.8,5515.45,No
2928-HLDBA,女性,非高齢者,未婚,なし,6,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,20.7,112.75,No
0404-SWRVG,男性,非高齢者,未婚,なし,3,あり,複数回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,74.4,229.55,Yes
6497-TILVL,女性,非高齢者,既婚,あり,7,あり,1回線,DSL,あり,なし,なし,なし,なし,なし,毎月更新,紙請求書,郵送小切手,50.7,350.35,No
7219-TLZHO,女性,非高齢者,既婚,あり,4,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,20.85,62.9,No
4622-YNKIJ,男性,非高齢者,未婚,なし,33,あり,1回線,Fiber optic,あり,なし,なし,あり,あり,なし,2年更新,電子請求書,電子決済,88.95,3027.65,No
4412-YLTKF,女性,高齢者,未婚,なし,27,あり,複数回線,Fiber optic,なし,なし,あり,なし,なし,なし,毎月更新,電子請求書,電子決済,78.05,2135.5,Yes
6734-PSBAW,男性,非高齢者,既婚,なし,72,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,口座引き落とし,23.55,1723.95,No
3930-ZGWVE,男性,非高齢者,未婚,なし,1,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,19.75,19.75,No
2639-UGMAZ,男性,高齢者,未婚,なし,71,なし,電話契約なし,DSL,あり,あり,なし,なし,あり,あり,1年更新,電子請求書,電子決済,56.45,3985.35,No
2876-GZYZC,女性,非高齢者,未婚,なし,13,あり,複数回線,Fiber optic,なし,なし,なし,なし,なし,あり,毎月更新,電子請求書,電子決済,85.95,1215.65,No
6207-WIOLX,女性,非高齢者,既婚,あり,25,なし,電話契約なし,DSL,あり,あり,あり,なし,あり,あり,毎月更新,電子請求書,クレジットカード,58.6,1502.65,Yes
8587-XYZSF,男性,非高齢者,未婚,なし,67,あり,1回線,DSL,なし,なし,なし,あり,なし,なし,2年更新,紙請求書,口座引き落とし,50.55,3260.1,No
3091-FYHKI,男性,非高齢者,未婚,なし,1,なし,電話契約なし,DSL,なし,なし,なし,なし,なし,あり,毎月更新,電子請求書,電子決済,35.45,35.45,Yes
2372-HWUHI,男性,非高齢者,未婚,なし,2,あり,1回線,DSL,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,電子決済,44.35,81.25,Yes
7799-LGRDP,女性,非高齢者,未婚,なし,43,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,クレジットカード,25.7,1188.2,No
7850-VWJUU,女性,非高齢者,未婚,なし,23,あり,1回線,Fiber optic,あり,なし,なし,なし,なし,なし,毎月更新,電子請求書,口座引き落とし,75,1778.5,No
3774-VBNXY,女性,非高齢者,既婚,あり,64,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,郵送小切手,20.2,1277.75,No
6217-KDYWC,男性,非高齢者,未婚,あり,57,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,郵送小切手,19.6,1170.55,No
0390-DCFDQ,女性,高齢者,既婚,なし,1,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,郵送小切手,70.45,70.45,Yes
3146-MSEGF,女性,高齢者,既婚,あり,72,あり,複数回線,DSL,あり,あり,あり,あり,あり,あり,2年更新,電子請求書,クレジットカード,88.05,6425.65,No
4080-OGPJL,女性,非高齢者,未婚,なし,8,あり,複数回線,DSL,あり,なし,なし,あり,なし,あり,毎月更新,紙請求書,電子決済,71.15,563.65,Yes
1095-WGNGG,女性,非高齢者,既婚,なし,61,あり,複数回線,Fiber optic,なし,あり,なし,なし,あり,あり,2年更新,電子請求書,口座引き落とし,101.05,5971.25,No
2636-SJDOU,男性,非高齢者,未婚,なし,64,あり,複数回線,Fiber optic,あり,あり,なし,なし,なし,なし,1年更新,電子請求書,クレジットカード,84.3,5289.05,No
1131-QQZEB,男性,高齢者,既婚,なし,71,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,23.95,1756.2,No
5716-EZXZN,女性,非高齢者,既婚,あり,65,あり,複数回線,Fiber optic,あり,あり,なし,あり,あり,なし,2年更新,電子請求書,クレジットカード,99.05,6416.7,No
6837-BJYDQ,男性,非高齢者,未婚,なし,3,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,紙請求書,郵送小切手,19.6,61.35,No
2135-RXIHG,男性,非高齢者,未婚,なし,1,あり,1回線,DSL,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,45.65,45.65,Yes
6440-DKQGE,男性,非高齢者,未婚,あり,30,あり,1回線,DSL,なし,あり,あり,なし,あり,なし,1年更新,紙請求書,クレジットカード,64.5,1929.95,No
